Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,90759370,11626.410213653167,5110761,670774,1963169,251.48486721235804,92305,15833,
United States of America,Americas,22645757,68415.64,1774844,217166,377446,1140.31,23160,4117,Community transmission
India,South-East Asia,10512093,7617.43,116815,16946,151727,109.95,1391,198,Clusters of cases
Brazil,Americas,8195637,38556.92,385237,64025,204690,962.98,6958,1110,Community transmission
Russian Federation,Europe,3471053,23785.01,162452,22850,63370,434.24,3419,566,Clusters of cases
The United Kingdom,Europe,3164055,46608.35,389572,45533,83203,1225.63,6898,1243,Community transmission
France,Europe,2760259,42287.58,124708,19603,68419,1048.19,2517,362,Community transmission
Italy,Europe,2303263,38094.5,121644,14242,79819,1320.16,3490,616,Clusters of cases
Spain,Europe,2137220,45711.26,119432,14060,52683,1126.79,723,43,Community transmission
Germany,Europe,1953426,23315.04,144779,19600,42637,508.89,6100,1060,Community transmission
Colombia,Americas,1816082,35691.41,113116,14179,46782,919.41,2354,331,Community transmission
Argentina,Americas,1744704,38603.26,81974,13783,44848,992.31,1063,194,Community transmission
Mexico,Americas,1556028,12068.52,89538,14395,135682,1052.35,6860,1314,Community transmission
Turkey,Europe,1531947,18164.14,76184,9809,23152,274.51,1273,171,Community transmission
Poland,Europe,1404905,37121.03,60142,9053,32074,847.47,2019,481,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1305339,15541.05,43436,6317,56457,672.16,627,97,Community transmission
South Africa,Africa,1259748,21240.53,131989,13105,34334,578.9,3810,755,Community transmission
Ukraine,Europe,1130839,25857.35,40343,6409,20214,462.21,857,195,Community transmission
Peru,Americas,1040231,31549.06,18213,2881,38339,1162.78,414,4,Community transmission
Netherlands,Europe,883135,51540.22,49398,4986,12563,733.18,743,153,Community transmission
Indonesia,South-East Asia,858043,3137,69641,11278,24951,91.22,1655,306,Community transmission
Czechia,Europe,855600,79895.56,78633,10801,13656,1275.19,1220,171,Community transmission
Romania,Europe,676968,35189.67,28680,3697,16881,877.5,703,156,Community transmission
Canada,Americas,674473,17870.55,55827,6292,17233,456.6,1000,147,Community transmission
Belgium,Europe,667322,57579.27,9739,0,20194,1742.42,290,0,Community transmission
Chile,Americas,652525,34134.66,27042,3390,17204,899.97,388,22,Community transmission
Iraq,Eastern Mediterranean,605416,15051.68,5451,867,12915,321.09,50,4,Community transmission
Bangladesh,South-East Asia,524910,3187.27,6012,890,7833,47.56,146,14,Community transmission
Pakistan,Eastern Mediterranean,508824,2303.49,16230,2123,10772,48.77,311,55,Clusters of cases
Sweden,Europe,506866,50188.4,37141,4639,9667,957.2,103,1,Community transmission
Portugal,Europe,496552,48697.28,59973,7259,8080,792.41,794,155,Clusters of cases
Israel,Europe,493501,57015.66,43971,0,3687,425.97,204,0,Community transmission
Philippines,Western Pacific,492700,4496.21,11963,1442,9699,88.51,352,145,Community transmission
Switzerland,Europe,484930,56031.33,21275,2836,7753,895.82,418,98,Community transmission
Morocco,Eastern Mediterranean,455055,12328.59,7974,1266,7810,211.59,192,26,Clusters of cases
Austria,Europe,382763,42499.01,13983,1728,6782,753.02,379,80,Community transmission
Saudi Arabia,Eastern Mediterranean,364271,10463.39,894,175,6304,181.08,32,4,Sporadic cases
Serbia,Europe,363924,52259.67,14686,2142,3639,522.56,234,29,Community transmission
Hungary,Europe,345710,35786.48,13942,1358,10948,1133.29,750,95,Community transmission
Jordan,Eastern Mediterranean,310968,30477.69,8112,1122,4091,400.96,136,15,Community transmission
Japan,Western Pacific,302623,2392.72,44230,5308,4233,33.47,442,88,Clusters of cases
Panama,Americas,285093,66073.79,25323,3740,4561,1057.07,323,61,Community transmission
Nepal,South-East Asia,266143,9134.25,2950,445,1937,66.48,38,5,Clusters of cases
Georgia,Europe,243255,60978.9,9376,1618,2846,713.43,180,26,Community transmission
United Arab Emirates,Eastern Mediterranean,239587,24224.19,20821,3362,723,73.1,34,6,Community transmission
Lebanon,Eastern Mediterranean,231936,33981.08,32011,4988,1740,254.93,203,35,Community transmission
Azerbaijan,Europe,225346,22225.28,3945,519,2941,290.06,149,15,Clusters of cases
Ecuador,Americas,224315,12714.07,6938,1748,14229,806.49,83,33,Community transmission
Croatia,Europe,222117,54105.37,5831,1135,4472,1089.33,249,26,Community transmission
Belarus,Europe,215724,22829.57,12620,1731,1535,162.45,64,9,Community transmission
Slovakia,Europe,215055,39389.95,19008,3576,3163,579.34,506,61,Clusters of cases
Kazakhstan,Europe,210976,11236.05,5043,0,2885,153.65,40,0,Clusters of cases
Bulgaria,Europe,209881,30205.46,4491,750,8279,1191.49,377,47,Clusters of cases
Dominican Republic,Americas,186383,17181.47,10005,1595,2428,223.82,9,1,Community transmission
Denmark,Europe,183801,31732.49,11022,1076,1623,280.2,203,26,Community transmission
Costa Rica,Americas,181093,35549.43,7502,1032,2367,464.65,119,14,Community transmission
